state_name,district_name,block_name,panchayat_name,village_name,habitation_name,habitation_id,school_id,school_name,no_of_student,school_category,school_subcategory,update_date
Karnataka,Hassan,Arkalgud,"Kalena Hally","Jittena Hally","Jittena Hally",0000380225,0000060221,"GHPS JITTENA  HALLY",60,Govt.,"Upper Primary with grades 1 to 8",2023-01-18
Karnataka,Hassan,Arkalgud,Kattepura,Kattepura,Kattepura,0000380226,0000060223,"ULPS KATTEPURA",2,Govt.,"Primary only with grades 1 to 5",2023-01-18
Karnataka,Hassan,Arkalgud,"Kathimallena Hally",Madapura,Madapura,0000380240,0000060245,"LPS MADAPURA",7,Govt.,"Primary only with grades 1 to 5",2023-01-18
Karnataka,Hassan,Arkalgud,"Kathimallena Hally","Ramena Hally","Ramena Hally",0000380242,0000060247,"LPS RAMENAHALLY",16,Govt.,"Primary only with grades 1 to 5",2023-01-18
Karnataka,Hassan,Arkalgud,Lakkur,"Kutuka Marti Kaval","Kurti Marti Kaval",0000380273,0000060283,"LPSKUTUKA MARTI KAVAL",15,Govt.,"Primary only with grades 1 to 5",2023-01-18
Karnataka,Hassan,Arkalgud,Mallipatana,Mallipatana,Mallipatana,0000380274,0000060285,"government HIGH SCHOOL mallipatna",142,Govt.,"Secondary/Sr. Sec. with grades 1 to 10",2023-01-18
Karnataka,Hassan,Arkalgud,Koratikere,"Kortikere Kaval","Kortikere Kaval",0000380000,0001697359,"GLPS  MALLE KOPPALU",6,Govt.,"Primary only with grades 1 to 5",2023-01-18
Karnataka,Hassan,Arkalgud,Koratikere,Kotekarpuravally,Kotekarpuravally,0000380001,0001699880,"GOVT URDHU  LOWER PRIMARY SCHOOL KOTERAPURAVALLY",9,Govt.,"Primary only with grades 1 to 5",2023-01-18
Karnataka,Hassan,Arkalgud,Bannur,Bannur,Bannur,0000380021,0001701982,"DIVYA JYOTHI EM HIGH SCHOOL",105,Private,"Secondary/Sr. Sec. with grades 1 to 10",2023-01-18
Karnataka,Hassan,Arkalgud,Belvadi,Hanagalu,Hanagalu,0000380036,0001700846,"GHS HANGAL",71,Govt.,"Secondary/Sr. Sec. only with grades 9 and 10",2023-01-18
Karnataka,Hassan,Arkalgud,Bychanahally,Maravalalu,"Maravalalu Colony",0000380051,0001697537,"GLPS  MARAVALALU COLONY",15,Govt.,"Primary only with grades 1 to 5",2023-01-18
Karnataka,Hassan,Arkalgud,Mokali,Somanally,Somanally,0000380096,0001701070,"G.U.L.P.S SOMANAHALLI",4,Govt.,"Primary only with grades 1 to 5",2023-01-18
Karnataka,Hassan,Arkalgud,Doddamagge,Chikkamagge,Hosuru,0000380101,0001701968,CHIKKAMAGGEHOSURU,12,Govt.,"Primary only with grades 1 to 5",2023-01-18
Karnataka,Hassan,Arkalgud,Gangoor,Hampapura,Hampapura,0000380103,0000862731,H.P.S,75,Govt.,"Upper Primary with grades 1 to 8",2023-01-18
Karnataka,Hassan,Arkalgud,Ganjalgud,Ganjalgud,Ganjalgud,0000380107,0001698454,"LAKSHMI LOWER PRIMARY SCHOOL GANJALAGUDU",32,Govt.,"Upper Primary with grades 1 to 8",2023-01-18
Karnataka,Hassan,Arkalgud,Hebbale,Hebbale,Hebbale,0000380146,0001698209,"GOVT JUNIER COLLEGE HEBBALE",238,Govt.,"Higher Secondary with grades 1 to 12",2023-01-18
Karnataka,Hassan,Arkalgud,Holalagodu,Gerukuppe,Gerukuppe,0000380174,0000862829,"government lps gerukuppe",3,Govt.,"Primary only with grades 1 to 5",2023-01-18
Karnataka,Hassan,Arkalgud,"Kalena Hally","Kalena Hally","Kalena Hally",0000380212,0000862817,"GHS KALENAHALLY",236,Govt.,"Secondary/Sr. Sec. with grades 1 to 10",2023-01-18
Karnataka,Hassan,Arkalgud,"Kalena Hally","Basavana Hally","Basavanahally Koppal",0000380223,0000862816,"GHPS BASAVANA HALLY KOPPALU",72,Govt.,"Upper Primary with grades 1 to 8",2023-01-18
Karnataka,Hassan,Arkalgud,Mallipatana,Mallipatana,Mallipatana,0000380274,0001700662,"malenadu higher primary school",173,Private,"Upper Primary with grades 1 to 8",2023-01-18
Karnataka,Hassan,Arkalgud,Mallipatana,Bobbagalale,Bobbagalale,0000380296,0000060304,"government lower primary school bobbagalale",16,Govt.,"Primary only with grades 1 to 5",2023-01-18
Karnataka,Hassan,Arkalgud,Mallipatana,Chowragallu,Chowragallu,0000380297,0000060306,"government lower primary school chowragallu",6,Govt.,"Primary only with grades 1 to 5",2023-01-18
Karnataka,Hassan,Arkalgud,Ramanathpura,Ramanathpura,Ramanathpura,0000380301,0000060308,"HPS ramanathpura",156,Private,"Upper Primary with grades 1 to 8",2023-01-18
Karnataka,Hassan,Arkalgud,Rudrapatana,Kantapura,Kantapura,0000380311,0000060321,"LPS KANTAPURA",12,Govt.,"Primary only with grades 1 to 5",2023-01-18
Karnataka,Hassan,Arkalgud,Hanyalu,Hanyalu,Hanyalu,0000380315,0000060328,"GHPS HANYALU",34,Govt.,"Upper Primary with grades 1 to 8",2023-01-18
Karnataka,Hassan,Arkalgud,Hanyalu,Hanyalu,Hanyalu,0000380315,0000862812,"High School",103,Govt.,"Secondary/Sr. Sec. with grades 1 to 10",2023-01-18
Karnataka,Hassan,Arkalgud,Santhemaruru,"Shyanabogana Hally","Shyanabogana Hally",0000380317,0000060333,"LPS SHYANABOGANA  HALLY",22,Govt.,"Primary only with grades 1 to 5",2023-01-18
