state_name,district_name,block_name,panchayat_name,village_name,habitation_name,habitation_id,school_id,school_name,no_of_student,school_category,school_subcategory,update_date
Kerala,Kasaragod,Kanhangad,Uduma,"Pallikkara Ii","Ward Vii",0000417222,0000354837,"Bekal GFLPS",117,Govt.,"Primary only with grades 1 to 5",2023-01-18
Kerala,Kasaragod,Kanhangad,Ajanur,Chithari,"Ward Xviii",0000417233,0000354842,"Kallingal GLPS",79,Govt.,"Primary only with grades 1 to 5",2023-01-18
Kerala,Kasaragod,Kanhangad,Ajanur,Chithari,"Ward Xxiii",0001863116,0000354841,"GLPS Mukkot",119,Govt.,"Primary only with grades 1 to 5",2023-01-18
Kerala,Kasaragod,Kanhangad,Ajanur,Ajanur,"Ward V",0000417238,0002464077,"GFUPS MANIKOTH",175,Govt.,"Upper Primary with grades 1 to 8",2023-01-18
Kerala,Kasaragod,Kanhangad,Ajanur,Ajanur,"Ward Xii",0000417245,0002464269,"GLPS MUCHILOT",93,Govt.,"Primary only with grades 1 to 5",2023-01-18
Kerala,Kasaragod,Kanhangad,Pallikare,Pallikkara,"Ward Xvii",0000417319,0001990776,"GHSS PALLIKKARE",1161,Govt.,"Higher Secondary with grades 1 to 12",2023-01-18
Kerala,Kasaragod,Kanhangad,"Pullur Periya",Pullur,"Ward Viii",0000417342,0000354886,"GUPS Pullur",599,Govt.,"Upper Primary with grades 1 to 8",2023-01-18
Kerala,Kasaragod,Kanhangad,Uduma,Bare,"Ward V",0000417220,0002522047,"GWLPS BARE",140,Govt.,"Primary only with grades 1 to 5",2023-01-18
Kerala,Kasaragod,Kanhangad,Uduma,"Pallikkara Ii","Ward X",0000417225,0002592901,"GREENWOOD PUBLIC SCHOOL",2000,Private,"Higher Secondary with grades 1 to 12",2023-01-18
Kerala,Kasaragod,Kanhangad,Uduma,"Pallikkara Ii","Ward Xi",0000417226,0002522118,"GLPS MUDIAKKAL",96,Govt.,"Primary only with grades 1 to 5",2023-01-18
Kerala,Kasaragod,Kanhangad,Ajanur,Chithari,"Ward Iii",0000417231,0002592086,"CHACHAJIN EMS",100,Private,"Primary only with grades 1 to 5",2023-01-18
Kerala,Kasaragod,Kanhangad,Ajanur,Ajanur,"Ward Vi",0000417239,0002464482,"SMAUPS PANAYAL",404,"Govt. Aided","Upper Primary with grades 1 to 8",2023-01-18
Kerala,Kasaragod,Kanhangad,Madikkai,Madikkai,"Ward Ix",0000417299,0002464697,"GUPS MADIKAI ALAMPADY",151,Govt.,"Upper Primary with grades 1 to 8",2023-01-18
Kerala,Kasaragod,Kanhangad,"Pullur Periya",Periya,"Ward Xv",0001832173,0002488762,"AMBEDKAR VIDYANIKETHAN HSS PERIYA",249,Private,"Primary only with grades 1 to 5",2023-01-18
Kerala,Kasaragod,Kanhangad,Pallikare,Keekan,"Ward Xx",0001833155,0002558053,"ISLAMIC EMS HSS PALLIKKARE",775,Private,"Higher Secondary with grades 1 to 12",2023-01-18
Kerala,Kasaragod,Kanhangad,Uduma,"Pallikkara Ii","Ward Xvi",0001833160,0002522002,"GFUPS KOTTIKKULAM",109,Govt.,"Upper Primary with grades 1 to 8",2023-01-18
Kerala,Kasaragod,Kanhangad,Uduma,"Pallikkara Ii","Ward Xvi",0001833160,0002558073,"NOORUL HUDHA EMS",708,Private,"Secondary/Sr. Sec. with grades 1 to 10",2023-01-18
Kerala,Kasaragod,Kanhangad,Uduma,"Pallikkara Ii","Ward Xx",0001833164,0002488908,"AMBIKA ALPS UDMA",383,"Govt. Aided","Primary only with grades 1 to 5",2023-01-18
Kerala,Kasaragod,Kanhangad,Uduma,"Pallikkara Ii","Ward Viii",0000417223,0000354838,"GLPS Uduma",156,Govt.,"Primary only with grades 1 to 5",2023-01-18
Kerala,Kasaragod,Kanhangad,Ajanur,Ajanur,"Ward Xiii",0000417246,0000354845,"GUPS Puthiyakandam",104,Govt.,"Upper Primary with grades 1 to 8",2023-01-18
Kerala,Kasaragod,Kanhangad,Ajanur,Ajanur,"Ward Xiii",0000417246,0000354846,"Ajanur MappilaGLPS Manikoth",300,Govt.,"Primary only with grades 1 to 5",2023-01-18
Kerala,Kasaragod,Kanhangad,Madikkai,Ambalathara,"Ward I",0000417289,0000354861,"GLPS vayakode",81,Govt.,"Primary only with grades 1 to 5",2023-01-18
Kerala,Kasaragod,Kanhangad,Madikkai,Madikkai,"Ward Ix",0000417299,0000354868,"Keekankode GLPS",69,Govt.,"Primary only with grades 1 to 5",2023-01-18
Kerala,Kasaragod,Kanhangad,Ajanur,Ajanur,"Ward Vi",0000417239,0002290562,"IHSS AJANUR",1096,"Govt. Aided","Higher Secondary with grades 1 to 12",2023-01-18
Kerala,Kasaragod,Kanhangad,Madikkai,Madikkai,"Ward Iv",0000417294,0002059723,"GUPS POOTHAKKAL",275,Govt.,"Upper Primary with grades 1 to 8",2023-01-18
Kerala,Kasaragod,Kanhangad,Pallikare,Panayal,"Ward X",0000417306,0001990692,"GHSS PAKKAM",322,Govt.,"Higher Secondary with grades 1 to 12",2023-01-18
Kerala,Kasaragod,Kanhangad,Pallikare,Pallikkara,"Ward Xvi",0000417312,0000354875,"Chettankundu Kadappuram GLPS",60,Govt.,"Primary only with grades 1 to 5",2023-01-18
Kerala,Kasaragod,Kanhangad,"Pullur Periya",Pullur,"Ward X",0000417344,0001990593,"GHSS PERIYA",1400,Govt.,"Higher Secondary with grades 1 to 12",2023-01-18
Kerala,Kasaragod,Kanhangad,Uduma,"Pallikkara Ii","Ward Xiv",0001833158,0002292654,"BEKAL GFHS",300,Govt.,"Secondary/Sr. Sec. with grades 1 to 10",2023-01-18
Kerala,Kasaragod,Kanhangad,Ajanur,Chithari,"Ward Xxi",0001863112,0002290708,"JHSS CHITHARI",500,Private,"Higher Secondary with grades 1 to 12",2023-01-18
Kerala,Kasaragod,Kanhangad,Uduma,"Pallikkara Ii","Ward Xii",0000417227,0002489006,"GLPS THIRUVAKOLI",86,Govt.,"Primary only with grades 1 to 5",2023-01-18
Kerala,Kasaragod,Kanhangad,Uduma,"Pallikkara Ii","Ward Xiii",0000417228,0002522083,"ALPS BEKAL",87,"Govt. Aided","Primary only with grades 1 to 5",2023-01-18
Kerala,Kasaragod,Kanhangad,Ajanur,Chithari,"Ward Xvii",0000417232,0002592052,"SREE KURUMBA EMS",79,Private,"Primary only with grades 1 to 5",2023-01-18
Kerala,Kasaragod,Kanhangad,Madikkai,Madikkai,"Ward Vii",0000417297,0002464727,"GLPS CHERNATHALA",78,Govt.,"Primary only with grades 1 to 5",2023-01-18
Kerala,Kasaragod,Kanhangad,"Pullur Periya",Periya,"Ward Ii",0000417332,0002488482,"GUPS AYAMBARE",130,Govt.,"Upper Primary with grades 1 to 8",2023-01-18
