state_name,district_name,block_name,panchayat_name,village_name,habitation_name,habitation_id,school_id,school_name,no_of_student,school_category,school_subcategory,update_date
"Tamil Nadu",Chengalpattu,Maduranthakam,Andavakkam,Andavakkam,Andavakkam,0000945685,0000391405,PUPS,25,Govt.,"Primary only with grades 1 to 5",2023-01-18
"Tamil Nadu",Chengalpattu,Maduranthakam,Arungunnam,Arungunam,Arungunam,0000945698,0000391410,PUMS,141,Govt.,"Upper Primary with grades 1 to 8",2023-01-18
"Tamil Nadu",Chengalpattu,Maduranthakam,Averimedu,Avirimedu,Chitravadi,0000945706,0000391412,PUPS,40,Govt.,"Primary only with grades 1 to 5",2023-01-18
"Tamil Nadu",Chengalpattu,Maduranthakam,Chinnavenmani,Chinnavenmani,Chinnavenmani,0000945724,0000391418,PUPS,33,Govt.,"Primary only with grades 1 to 5",2023-01-18
"Tamil Nadu",Chengalpattu,Maduranthakam,Gendrachery,Gendracheri,Gendrachery,0000945730,0000391420,PUPS,49,Govt.,"Primary only with grades 1 to 5",2023-01-18
"Tamil Nadu",Chengalpattu,Maduranthakam,Kavadur,Kavadur,Mariputhur,0000945754,0000391428,PUPS,34,Govt.,"Primary only with grades 1 to 5",2023-01-18
"Tamil Nadu",Chengalpattu,Maduranthakam,Kallapiranpuram,Kallabiranpuram,Athimanam,0000945763,0000391429,PUPS,38,Govt.,"Primary only with grades 1 to 5",2023-01-18
"Tamil Nadu",Chengalpattu,Maduranthakam,Kumaravadi,Kumaravadi,Kumaravadi,0000945777,0000391435,PUPS,22,Govt.,"Primary only with grades 1 to 5",2023-01-18
"Tamil Nadu",Chengalpattu,Maduranthakam,Kilakandai,Kilakandai,Keelakandai,0000945781,0000391437,PUPS,28,Govt.,"Primary only with grades 1 to 5",2023-01-18
"Tamil Nadu",Chengalpattu,Maduranthakam,Lakshminarayanapuram,Lakshminarayanapuram(pallipat,Lakshminarayanapuram,0000945797,0000391443,PUMS,110,Govt.,"Upper Primary with grades 1 to 8",2023-01-18
"Tamil Nadu",Chengalpattu,Maduranthakam,Mangalam,Mangalam,Mangalam,0000945811,0000391448,PUPS,18,Govt.,"Primary only with grades 1 to 5",2023-01-18
"Tamil Nadu",Chengalpattu,Maduranthakam,Munnithikuppam,Munuthikuppam,Mulli,0000945826,0000391456,PUPS,15,Govt.,"Primary only with grades 1 to 5",2023-01-18
"Tamil Nadu",Chengalpattu,Maduranthakam,Netrampakkam,Netrambakkam,240.chithamur,0000945868,0000391471,PUPS,19,Govt.,"Primary only with grades 1 to 5",2023-01-18
